Nome file;Testo;L1;Altre_L2;Annualità;Consegna;Età;Scolarizzazione
Dafne093;"
 IL TESTO 
 Ieri al parco  stavo leggendo il giornale quando che ho sentito urli forte .
E dopo un po ho potuto vedire l' origine di questo : Un  ragazzo di alta statura e muscoloso  panava con la sua fidanzata sula spalla .
Lei ancora stava urlando .
 In questo momento ho capito che la  fidanzata non voleva essere sula spalla , però lei non ha potuto opporsi a lui .
Proprio per questo ho deciso di intervenire .
Si deve sapere che anche io sono di alta statura e mi alleno .
Così era semplice per me di sopraffare l' altro e liberare la  ragazza .
Mi ho sentito come un' eroe .
Ma ei invece ha iniziato di urlare da nuova .
E non poteva finire .
All' inizio non ho capito perché ma dopo un po ho potuto immaginare : lei era innamorata di lui e tutto era parte di un gioco tra di loro .
";tedesco;inglese;3;love_C.txt;19-25;un
FrancescaGallo063;"
 Ieri al parco , un uomo con dei grossi muscoli avevano una fragila donna sulla spalla .
Lui Era in colera , Lei era terrozzata gridava e urlava , seduto su una banca un altro uomo leggeva un giornale .
porta degli occhiali .
Vede la scena , si alza , anche lui era moscolato vuole giocare al buon saramitano .
e piccia l' uomo che aveva la rabbia , con i suoi pugni .
L' uomo cade al suolo , con la sua lingua fuori , e senza spirito .
A questo momento , la figlia si ritorna contro il suo salvatore , e si mette a urlare perchè "" Lei ha fatto questa azione . E' il mio fidanzato . Lo amo . """"
";francese;inglese;4;love_C.txt;oltre;un
IRENESUS017;"
 Ieri al parco un uomo , con occhiali , seduto su una panchina , stava leggendo il giornale , ha visto passare un uomo fortissimo , con un cuore schizzato sul braccio , portando sulle sue spalle una dona bionda che grudava e sembrava chiedere  soccorso .
L' uomo con occhiali , di scatto , ascoltando il suo coraggio , si è alzato e ha seguiro la coppia per andare a liberare la povera donna .
Finse aveva paura di un rapito .
Dopo una breve lotta l' uomo che portava la donna si è trovato senza coscienza sul terreno , la lingua uscita dalla bocca .
L' uomo con gli occhiali , in piedi , sembrava contento e soddisfato di lui .
Ma sorpesa ! Al contrario , la donna stava piangendo , la testa nelle mani .
Alla  fine ha spigato a l' uomo che l' aveva liberata , che l' altra personna distesa sul terreno era il suo amore e che non gli aveva chiesto niente .
";francese;inglese;3;love_C.txt;oltre;un
IRENESUS020;"Ieri al parco sono andata da sola per riposarmi del mio lungo viaggio che ho fatto la domenica scorsa .
Sono  ritornata di vacanza e ho traversato tutta la Francia , cioè 95 kilometri con la macchina durante 9h30 .
Ero stanca e pensavo a niente .
Avevo sentito delle parole forte , una donna sta gridando et un uomo la portava con lui  brutalmente .
Avevo paura e come avevo fatto le ore piccole , restavo penso dire niente .
finalmente un bel uomo con occhiali si e interposato e a fatto cadere l' uomo brutto per salvare la donna .
Quest' uomo era un vero gentleman , molto simpatico .
Ha fatto ridere la donna e questa non aveva piu paura .
L' ho  chiamo superman e mi a fatto pensare a  un film anrico di Benigni nel quale la principessa sogna di un prince gentile ! La donna salvata sembrava anche sognare e guardava lui con occhi enamorati , aveva già dimenticato la brutta storia che si  era svolgata dieci minuti fa ! La dona ringraziava suo salvatore con un braccio e chiusa le occhi .
Era una vero momento di benessere .
La natura del parco mi sembra piu verde , i fiori piu aperte , le uccele cantarono .
Non sono oggi sicura si ho sognato o si ho  realmente visto tutto , ma sono io anche un po unamora ta del bel uomo !!";francese;inglese;4;love_C.txt;oltre;un
IRENESUS022;"
 Ieri al parco , ero camminando nella parte lo più vuoto del parco , perchè avevo bisogno di solitudine , quando ho visto una cosa strana .
Un uomo molto forto , la testa cattiva aveva preso sulla sua spalle una donna , forse la sua donna ? ma a questo momento non ero sicuro di questo fatto .
La donna non mi sembrava molto contenta e gridava sopra le spalle del uomo .
Un altra uomo , si trova li , seduto sul un panchino del parco , leggendo un giornale con i suoi occhiali .
Questo mi sembrava più carino e gentile ma al invece , quando ha ascolto la donna gridare , si alzava a l' uomo che sembrava più forte ma neanche caduti a terra .
L' uomo carino era soddisfatto di lui e magari aspettandava da vedere che la donna almeno gli ha fatto un sorriso .
Ma lei al invece s' era arrarbi contro l' uomo carino dicendo che lui , aveva fatto male al suo amore .
Come mai capire le donne ! ";francese;inglese;3;love_C.txt;oltre;un
IRENESUS023;"
 Ieri al parco , uno uomo che si chiama Matteo stava leggendo tranquillamente il suo giornale su una panchina .
E arrivato un altro uomo portando una donna sulla sua spalle .
Sembrava molto brutto e la donna stava gridando :"" No , no , Marco, lasciami ! Aiuto !Aiuto ! "".
Matteo non poteva vederla senza fare niente .
Con tutto il suo corragio , Matteo andava a dare una mano a questa ragazza .
Strappava Marco, toccava sulla sua testa e   Marco cadeva .
Però, non è successo come  Matteo  pensava .
Quando  la signorina ha visto  Marco  il quale non si muoveva più, non era contenta ! Ed allora , ha detto a  Matteo  :"" Non mi piace ! E' il mio amore ! Che l' aveva fatto , lei ? ""  ";francese;inglese;4;love_C.txt;41-50;un
Maria005;"
 Ieri al parco ho visto una strana scena : Verso mezzogiorno ho fatto una passeggiata nel parco perche non pioveva piu .
Ho trovato una banca carina al sole e ho letto il giornale.
Improvvisamente è passata una coppia molto agitata .
I uomo muscolosissimo con una espressione arrabiata stava portando la sua ragazza sulla spalla .
La donna ha urlato : "" Aiutami ! Non lo voglio !"" Ho smesso di leggere e mi sono alzato per aiutarla .
Glio ho dato due colpi di pugno .
E caduto e non si è mosso piu .
Ho sperato che la ragazza mi disse grazie .
Ma la sua reactione mi ha molto sorpreso : Sembrava preoccupata e guardava l' uomo con compassione .
Improvvisamente ho levato il pugno chiuso verso a me e ha detto : ""Maledetto! Chi credi di essere? Che diritto hai di fare male al mio fidanzato?"" ""Non riesco a capire le donne ! Prima hai chiesto aiuto e adesso sei arrabiata perché ti ho aiutato !"" ""Stupido ! Era una sbagliata : Siamo una coppia molto passionale , non era una cosa seria !"" ";tedesco;francese,inglese;";?";"LOVE_C.txt;0";40-50;un
Mariantonietta061;"
 Ieri al parco al prima un uomo chi è molto grande e brutto ha  una bella donna.
Ma questa donna chi ha una gonna non vuole che questo uomo la prende.
Allora la donna si arrabia.
Ma un altro uomo chi legge il giornale su un banco vuole che essere un hero.
Allora l'uomo da un pugno a l'uomo chi vuole prendere la bella donna.
Ma quando l'uomo da un pugno, la donna non cpisce, ma l'uomo è molto contento perchè pensa ha fatto qualcosa di bene.
Finalmente la bella donna non è contenta perchè questo ragazzo è il suo ragazzo.
Allora l'uomo la dice che non l'ha saputo.
";francese;inglese,estone;?;love_C.txt;19-25;un
Mariantonietta068;"
 Ieri al parco Io stavo leggendo e vedevo un uomo che portava una donna.
La donna gritava, così Io trovava rescatarla.
Il uomo era alto, forte e molto musculuso, ma Io può derribarle salvare a la donna.
Ma la donna cominzava a gridare e Io non sapiava perchè.
Secondo lei il uomo era il suo amante.
";spagnolo;inglese;?;love_C.txt;19-25;un
Mariantonietta072;"
 Ieri al parco stavo leggendo il giornale come tutti i giorni di domenica.
Il giornale di ieri era troppo noioso.
Stavo per finirlo quando ho visto un uomo che portava una donna tra i suoi braccia.
La donna piangeva e gli diceva al uomo di lasciarla, che voleva tornare a casa.
Io non sapevo che fare, volevo aiutarla ma non ero sicuro se io era più forte dal uomo.
Finalmente mi sono deciso e sono andato dove lui era per litigare con lui.
L'ho colpito nella faccia e è caduto a terra.
Io pensavo che la donna era contenta ma mi ha detto che quel uomo che avevo colpito era il suo marito e che solo stavano giocando.
";spagnolo;inglese;?;love_C.txt;19-25;un
