Nome file;Testo;L1;Altre_L2;Annualità;Consegna;Età;Scolarizzazione
Cristina007;"
 La Statione 
 C'era una volta una Statione dove sono tanti personi , anche un cane .
 
 C'e molto casino sono anche le Wurstel e un uomo e una donna si baciano .

 Due donne e un uomo quardano sul grande Orolocio .
 
 Un Ladro c'e anche , ache un grosso uomo con una cappa alla testa è fuma .
 
 Una donna bere un caffe .
 
 Sono tanti cofferi e un uomo qurda sulle due ce si baciano .

 Anche una tasca  e un pacceto .
 
 C'e un Tavolo con i macharini e tanti treni .
 
 Una donna aspetava a una sedia e una donna va con un uomo al treno .
 
 ";tedesco,0;0;4;stazione_C;8-13;el
Cristina008;"
 Un Uomo con ha una Zigereta .

 Un Cane che corre .

 Una grande Statione .
 
 Un Bicere che dentro la Cocacola .
 
 Le Uome e le Done chè scendono del Treno .

 Un caffe e cualcosa da mangiare .

 Un molto grande holorogo .

 In statione si cade tra treni .
 
 Sono due che si danno bacci .

 Il Uomo con la Zigereta guarda brruto .

 Un uomo in treno che aiuto un altro .

 E tanto sporco non in cestino .

 Sono anche tante valigie .

 Sono Persone che parlano .

 Una Donna chè aspetà a una persone .
 
 Una lavagnia chè à scrito dove va il treno .

 Sono anche negozi che si può mangiare .
 
 ";tedesco,0;0;4;stazione_C;8-13;el
Cristrina009;"
 In questa stazione sucedono tante cose .

 Alcuni aspetono al treno , alcuni leggono quando viene il treno ,  pure un Barbone e un ladro 
 Questa stazione è disordinata , tutta l' imondizia è per'terra .
 
 C' è un cane che butta tutto per'terra e corr come un pazzo e c' è pure una copia che si bacia .

 Il Barbone ha un capello , una sigaretta in boccha , una barba lungha e una giaccha di pelle .

 Questo Barbone non fa nient altro che fumare e star seduto .

 Invece il ladro guarda cosa può rubare e è vestito tutto in nero con una vaccia arrabiata .

 C' è un tavolo dove aveva mangiato una familia e ci sono anchora le posate .

 Sul muro ci sono delle scritte dei disegni e delle foto .
 ";tedesco,0;italiano;3;stazione_C;8-13;el
Cristina010;"Thema 
 Sulla vignetta c'e una stazione di treni .

 C'e un uomo che a un capello e una sigaretta .

 Ci sono tanti tavoli tutti sporchi e per terra ci sono bicchieri rotti , giornali ,  botiglie , .....

 Sulla vignetta ci sono due morosi che si baciano .

 C'e anche un ladro che corre come un pazzo .

 Nella stazione c'e tanto caos .

 C'e una donna che siede su una sedia e che a il mantello  sporcho .

 Un piccolo cagniolino che corre via una tovaglia che e tutta piena di vino rosso .

 Vicino al treno c'e un uomo che aiuta a un altro uomo a tirare giù delle valigie .

 C'e anche un orologio grande che indica le Ore 2:00 .

 E c'e anche una valicia aperta che cascano fuori delle salsicie .

 Ci sono delle colonne che c'e un manifesto per  andare in ferie .

 Sulle colonne ci sono  anche delle scritte .";tedesco,0;0;+;stazione_C;8-13;el
Cristina051;"
 LA STAZIONE 
 A destra c' è un palo di ferro con su : un foglio di publiccittà , un fogliotto con scritto su qual cosa  e due firma .

 Vicino al palo c' è un cestino con su un disegno .

 Vicino ci sono  delle lattine .
Più in dietro c' è un meccanico .

 Vicino a lui  ci sono  due che si amano .
Si baciono , con vicino a loro la  borsa .

 Il meccanico doveva reparare qual cosa e adesso va a casa .
Dietro di lui ci sono  i treni .

 In uno dei  tre treni entrano due persone .

 Vicino ai amorati c' è un ladro , ruba le cose di loro .

 Mentre un signore fuma un  cane scappa via .

 Mentre due sposi caminano , lì cade giù una scatolo , con dentro delle scarpe .

 Sul pavimento c' è un giornale rotto .

 C' è anche un telo amacchiato , dove non si sà che cosa è sotto .

 Davanti ci sono  delle bottiglie rotte e piatti  rotti .

 Vicino c' è una scatola con salumi .

 Mentre una persona  si chiude le orecchie , tre ragazzi guardano sul orologio quadrato .

 Vicino alla signora sono due tavoli con su delle cose di cucina .

 Il treno ha tante finestrine .

 Davanti alla casetta dove  si può comprare i biglietti , aspettano tante persone .

 ";tedesco,0;italiano,inglese;4;stazione_C;8-13;el
Cristina053;"
 La stazione  !
 Una signora bacia il suo marito .

 Un cane corre via .

 Un nonno che sembra un ladro fuma .

 Una signorina gaurda con il suo amico e la sua nonna il l'orologgio .
Un altra signora è nel treno e prende  la sua valigia .
Un ladro ruba una valigia  grande .
Un ragazzino guarda quando parte il suo treno .
Un altro nonno va via della stazione .
Il meccanico  guarda i due amorati che  si bacciano .
Altri due amorati vanno anche  via .
Una nonna urla .
Un ragazzo saluti i suoi amici .
Due ragazze mangiano panini perchè hanno fame .
Un papà cerca il suo  figlio .
Due uomini parlano delle ferie .
Due treni  sono pena arrivati .
L' edificio dei panini chiude .
 ";tedesco,0;italiano,inglese;4;stazione_C;8-13;el
Cristina055;"
 Alla STAZIONE 
 Questa gente è alla stazione : E' le una tutta la gente sta asspetando all' loro treno , 
 Una signora mangia ma qualcuno ha fatto cadere il tavolo e li cade  tutto giu .
Ci sono anche due uomini che sembrano ladri 
Uno fuma la sigaretta l' altro  si guarda in torno .
Quella signora che è caduto il tavolo  ha visto che era il suo cane che ha fatto questa disordine .
Ci sono anche due amorati che si bacciano perche il uomo deve andare  via .
C'e anchè un uomo che aiuta a salire a una signora con tanti  bagali .
Anchè una coppia che  va a pasegare .
Il mecchanico vuole  partire per fare il lavoro in un altra città .
C'e anchè gente che guardano l' orologo .
PIP PIP si parte .
";tedesco,0;italiano,inglese;4;stazione_C;8-13;el
Cristina057;"
 La stazione un disegno , un cane , una forchetta , una bottiglia , stivali , tre treni , una tazza , l' orologgio , tante persone , tante scarpe , una borsa , un capello , finestre , un mantello ; 
 In mezzo del disegno c' è un cane .
Sul tavolo c' è una forchetta .
C' è anche un mechanico .
C' è anche un giornale sul pavimento .
Sono anche tante persone .
Ci  sono anche tre treni  
Ci sono tre pali .
Davanti c' è un siniore con una lunga barba .
C' è anche una valiggia .
Sulla sedia c' è una borsa .
 C' è anche una fazoletta .
Sono anche pantaloni .
Due persone si baciano  .
Sono anche salumi .
Il treno ha tanti finestrini .
 C' è anche una scatola .
C' è una siniora che ha una gonna .
Sul cartone c' è un formaggio .
Una siniora ha una cintura  .
";tedesco,0;italiano,inglese;4;stazione_C;8-13;el
Cristina059;"
 La stazione bottiglia , bicchiere , persone , cestino , latine , salame , tavole borse , bacciare , camminare , correre , giornale , placate , banditi , uscita , piatti , treni , vetro , parlare , pantaloni , maglie , un cantiere , ferro , scatole , sedia , tasse , pane , scarpe , cappello , capelli , vino , succo , gomme , muri , calce , ladro 
 La bottiglia di vino è vuota .
Il cane corre velocissimo .
I treni è nella Stazione .
Due persone si sulatano perchè una persona guidano via le placate e alle muri .
I giornali per terra .
La donna siede alla  sedia .
Una pachetto e per terra , nel  pacchetto ci sono salsicce e un pane .
Una borsa di vestiti è vicino due persone che bacciano .
Sulla tavola ci sono tasse , una bottiglia una bicchiere una forca , serviete e folietti .
Una donna ha scarpe grande .
Un cestino è  vicino al treno un altro e vicino dal muro dove un placato .
Un falegname e vicino dal treno con attrezino .
Un l' orologio e sopra del tavolo con tasse di caffè .
Un' uomo portare un pacchetto grande .
Una persona e  davanti alla uscita .
";tedesco,0;italiano;4;stazione_C;8-13;el
Cristina060;"
 Io vede : bagalio , un cane , scarpe , tre treni , personi che caminano , una XXX , un mechinico che ripara , picieri , un grande oroloco , una satola , tante porse , un cornale ,  un latro che scaba con un pagalio ,una persona ce fuma , una persona si guarda sull'oroloco , tavole puliti , persone che parlano , persone che vanno via dalla grossa stazione , persone  che vengono , persone che vano in un grande treno , una persona piance , una persona che aiuta una altra persona , il pabimendo è sporco , persone con mani in  tasca in pantaloni , 
 ";tedesco,0;italiano;4;stazione_C;8-13;el
Cristina062;"La stazione 
 Nella Stazione sono tante cose e persone che : rubano , fumano , aspetano , entrano , si bacciano , spaventare , guardano , tavolo , cestino , carta , cicca ,  tante borse , tanta carta , cane , cartone , l'orologio , sedia , botiglie , pane , capello ,  treno eletrico .

 Nella Stazione c'è una una signiora che è seduta  ad un tavolo che è caduto e la siniora si è anche spaventata .
Nella Stazione c' è un  nono che fuma una cicca .
2 Persone si baciano .
1 Persona guarda quando il treno elletrico  parte .
Il cane scapa dalla signiora e la  signiora si spaventa .
Una persona telefona calcuno .
Una persona va ha comprare  cualcossa .
2 Persone che entrano nell' treno elletrico .
2 Persone che guardano i biglieti Sono 2 Persone che guardano le persone";tedesco,0;italiano,inglese;4;stazione_C;8-13;el
FrancescaGallo033;"
 Ci sono molto gente che aspetano sul binario ...
e la una e tre treni sono arrivati .
se puè vedere un mecanico con i  suoi instrumenti , uno ragazzo e la  sua ragazza che se abbrazano , un uomo vecchio che sta fumando ,  un altro più giovane cercha dove andare e ha paura de qualcosa ...
la polizia ? 
Non sappiamo perche sono tante tavole nel cuesto posto ! 
Ma ci sono ...
E una scena un pò caotica , sono tante cose cadute sulla terra ; bicchiere , botiglia di vino , piati ...
Nessuno sembra interesato per gli treni , mà è dovè è  questa stazione ? 
";francese;inglese;2;stazione_C.txt;oltre;un
FrancescaGallo034;"
 Sul binario di questa stazione possiamo vedere molto gente e tre treni .
La prima vista cé un vecchio con un capello e una pigonetta .
Un cane corrie .
Un ragazzo e una ragazza sono enamorati e se dano un braccio .
Credo  che  cé un ragazzo che vuole robare qualcuno .
Ci sono le due al orologio .
Una  tavola cé preparata per la cena ? 
Ci sono pachetti aperti con maceleria i dolce ! 
A la destra , un ragazzo viene per "" reparare ""?? un treno .
Una vecchia è seduta e sembra angosra ma non sapiamo perchè.
Ha perso la sua valigia ? 
Un uomo aiuta una ragazza che è nel treno .
Lei da la sua valigia .
Il binario e molto sporco .
 Bisogna  pulirle .
Ci sono molti giornale bicchiere .
Ho scoperto che una tavola è ( renversée ) è perchè la vecchia sembra affolata .
è una vista molto strana !! 
";francese;inglese;2;stazione_C.txt;oltre;un
FrancescaGallo036;"
 In questa stazione ci sono treni che sono arrivati .
Normale .
Ci sono anche molte gente che sono qui , che stanno arrivadi o che vogliono andare via .
Ma che fanno gli altri ? 
è l' una .
il tempo del pranzo .
C' è un resturant nella stazione , ma è un "" bordello "" totale .
C' è un cane che sta traversando la stazione e che ha messo tutto parterra .
Un uomo alto sta fumando , un altro , piu giovane , sta tirando una valigia , una coppia si fanno i baci .
Dintra , un mecchanico li guarda .
E' veramente una scena caotica .
";francese;inglese;2;stazione_C.txt;41-50;un
FrancescaGallo037;"
 È una strania stazione : si può videre le gente che partano in viaggio : per esempio ci sono due persone che si bacciano , e che hanno valligie con loro .
Ci sono anche treni , binarii .
Ma , che fa la tavola , a sinistra ? 
E perche  vediamo una donna , sulla sedia , in medio della stazione ? 
Questa stazione non è  pulita : ci sono molte cose sul ( par terre ) : un vecchio giornale , becchieri , crossanti ecc ...
E che fa questo cane , corrente , dove va ? 
In centro  dell' imagio , si puù vedere un uomo : brutto , con la sua valligia :  sta arrivando , va a l' uscita .
Ma , questa imagio è difficile a descrivere : sono tante cose che non vanno insieme ! 
";francese;inglese,tedesco;1;stazione_C.txt;oltre;un
